Company Name,Start of Production,Main Products
"Tianjin FAW Toyota Motor Co., Ltd. (TFTM)",Oct. 2002,"Corolla (Incl. HEV and PHEV), Corolla Cross, Vios, Allion, IZOA (Incl. BEV and HEV), Crown Kluger (HEV)"
"Sichuan FAW Toyota Motor Co., Ltd. (SFTM)",Dec. 2000,"Coaster, Avalon (Incl. HEV), RAV4 (Incl. HEV and PHEV), Harrier"
"GAC Toyota Motor Co., Ltd. (GTMC)",May 2006,"Camry (Incl. HEV), Highlander (incl. HEV), Levin (Incl. HEV and PHEV), Levin GT, Yaris, C-HR (Incl. BEV and HEV), Wildlander (Incl. HEV and PHEV), Sienna (HEV), Frontlander"
"Tianjin Fengjin Auto Parts Co., Ltd. (TFAP)",May 1998,"Axles, CVJ"
"Tianjin FAW Toyota Engine Co., Ltd. (TFTE)",July 1998,Engines
"Tianjin Toyota Forging Co., Ltd. (TTFC)",Dec. 1998,"Forged parts, CVJ"
"FAW Toyota (Changchun) Engine Co., Ltd. (FTCE)",Dec. 2004,Engines
"GAC Toyota Engine Co., Ltd. (GTE)",Jan. 2005,Engines
"Toyota Motor (Changshu) Auto Parts Co., Ltd. (TMCAP)",July 2014,Transmissions
"Sinogy Toyota Automotive Energy System Co., Ltd. (STAES) ",Sep. 2015,"Automotive nickel-metal hydride storage battery packs, Automotive lithium-ion storage battery packs"
"Kuozui Motors, Ltd.",Jan. 1986,"Camry, Corolla (Incl. HEV), Corolla Cross (Incl. HEV), Vios, Yaris, Sienta"
"Kuozui Motors, Ltd.",Jan. 1986,"Engines, Stamped parts"
Toyota Kirloskar Motor Private Ltd. (TKM),Dec. 1999,"Innova, Fortuner, Camry (Incl. HEV), Yaris, ES (HEV)"
Toyota Kirloskar Auto Parts Private Ltd. (TKAP),July 2002,"Axles, Propeller shafts, Transmissions"
PT. Toyota Motor Manufacturing Indonesia (TMMIN),May 1970,"Innova, Fortuner, Vios, Sienta, Yaris, Veloz"
PT. Toyota Motor Manufacturing Indonesia (TMMIN),May 1970,Engines
P.T. Astra Daihatsu Motor (ADM),Dec. 2003*1,"Avanza, Rush, Calya, Agya, Raize, etc."
PT. Hino Motors Manufacturing Indonesia (HMMI),Dec. 2009*1,Dyna
PT. Sugity Creatives, ,Specially-equipped Hiace
Assembly Services Sdn. Bhd. (ASSB),Feb. 1968,"Vios, Yaris, Hilux, Innova, Fortuner, Corolla Cross"
Indus Motor Company Ltd. (IMC),Mar. 1993,"Corolla, Hilux, Fortuner"
Toyota Motor Philippines Corp. (TMP),Feb. 1989,"Innova, Vios"
Toyota Autoparts Philippines Inc. (TAP),Sep. 1992,"Transmissions, Constant velocity joints"
"Toyota Motor Thailand Co., Ltd. (TMT)",Feb. 1964,"Camry (Incl. HEV), Corolla (Incl. HEV), Corolla Cross (Incl. HEV),  Vios, Yaris, Hilux, Fortuner, C-HR (Incl. HEV)"
"Siam Toyota Manufacturing Co., Ltd. (STM)",July 1989,Engines
"Toyota Auto Works Co., Ltd. (TAW)",,Hiace
"Toyota Motor Vietnam Co., Ltd. (TMV)",Aug. 1996,"Corolla, Vios, Innova, Fortuner"
"Toyota Myanmar Co., Ltd. (TMY)",Production start date under consideration,Hilux (Plan)
