Name,Main products,Start of Production
Honsha Plant,"Forged parts, Hybrid system parts, Fuel cell system parts, Chassis parts",Nov. 1938
Motomachi Plant,"Crown (Incl. HEV), LC (Incl. HEV), Mirai, GR Yaris, Noah, Voxy (Incl. HEV), Century, C+pod",Aug. 1959
Kamigo Plant,Engines,Nov. 1965
Takaoka Plant,"RAV4 (Incl. HEV), Harrier (Incl. HEV), Corolla (Incl. HEV), Corolla Touring (Incl. HEV), Corolla Cross (Incl. HEV)",Sep. 1966
Miyoshi Plant,"Powertrain-related parts, Forged parts, Engine-related parts",July 1968
Tsutsumi Plant,"Prius, Prius PHV, Camry (Incl. HEV), Corolla (Incl. HEV), Corolla Sport (Incl. HEV), ES (Incl. HEV)",Dec. 1970
Myochi Plant,"Powertrain-related parts, Resin parts",June 1973
Shimoyama Plant,"Engines, Fuel cell tanks",Mar. 1975
Kinu-ura Plant,Powertrain-related parts,Aug. 1978
Tahara Plant,"LS (Incl. HEV), IS (Incl. HEV), GX, RC (Incl. HEV), NX (Incl. HEV), Land Cruiser Prado, 4Runner, Engines",Jan. 1979
Teiho Plant,"Mechanical equipment, Moldings for resin and casting and forging",Feb. 1986
"TOYOTA MOTOR KYUSHU, INC.*1","ES (Incl. HEV), CT, RX (Incl. HEV), NX (Incl. HEV), UX (Incl. HEV and BEV), Engines, Hybrid system parts",Dec. 1992
"TOYOTA MOTOR HOKKAIDO, INC.*1","Transmissions, Powertrain-related parts, Forged parts",Oct. 1992
"TOYOTA MOTOR EAST JAPAN, INC.*1","Aqua, Sienta (Incl. HEV), C-HR (Incl. HEV), JPN TAXI, Yaris (Incl. HEV), Yaris Cross (Incl. HEV), Corolla Axio (Incl. HEV), Corolla Fielder (Incl. HEV), Engines, Powertrain-related parts, Brake-related parts",July 2012
"TOYOTA AUTO BODY CO., LTD.*1","Land Cruiser, LX, LM (Incl. HEV), Hiace, Alphard (Incl. HEV), Vellfire (Incl. HEV), Noah (Incl. HEV), Voxy (Incl. HEV)",Aug. 1945
"DAIHATSU MOTOR CO., LTD.*1","Roomy, Passo, Probox (Incl. HEV), Raize, Pixis, Copen",Mar. 1907
